number_id,client_id,expiration,CVC,loc_latitude,loc_longitude,extract_limit,amount_avg_withdrawal,amount_std_withdrawal,withdrawal_day,amount_avg_deposit,amount_std_deposit,deposit_day,inquiry_day,amount_avg_transfer,amount_std_transfer,transfer_day
c-NIGER-10,10,2050-01-17,999,6.517277,3.274793,97055.55,19411.11,15641.27,0.2466,11200.0,6040.22,0.0548,0.0548,21377.78,20517.5,0.1233
c-NIGER-11,11,2050-01-17,999,8.919544,7.510337,105809.5,21161.9,23607.01,0.2877,11620.69,5876.19,0.0795,0.0438,27078.95,31634.21,0.1041
c-NIGER-12,12,2050-01-17,999,6.566438,7.585704,92148.75,18429.75,20564.06,0.3315,11208.33,5453.19,0.0658,0.0658,20526.32,25802.9,0.1562
c-NIGER-13,13,2050-01-17,999,12.07045,8.644066,93445.95,18689.19,19196.12,0.2027,11875.0,6662.08,0.0438,0.074,13729.17,15755.77,0.1315
c-NIGER-14,14,2050-01-17,999,6.529681,3.26315,114435.5,22887.1,27286.26,0.3397,12727.27,6104.67,0.0904,0.0521,17483.33,16366.04,0.1644
c-NIGER-15,15,2050-01-17,999,11.962259,8.573918,110864.2,22172.84,22957.46,0.2219,10142.86,5503.25,0.0384,0.0329,22170.73,21043.89,0.1123
c-NIGER-16,16,2050-01-17,999,6.424618,3.266017,107526.3,21505.26,21577.11,0.2603,11714.29,6181.77,0.0575,0.0438,22156.25,24797.38,0.0877
c-NIGER-17,17,2050-01-17,999,6.49699,7.553203,128035.7,25607.14,26506.66,0.2301,11434.78,5983.51,0.063,0.0521,17153.85,17948.08,0.1068
c-NIGER-18,18,2050-01-17,999,12.022205,8.604504,129625.0,25925.0,26846.86,0.2192,12136.36,5709.6,0.0603,0.0466,21323.53,27935.77,0.0932
c-NIGER-19,19,2050-01-17,999,6.327325,3.470655,105360.8,21072.16,22675.82,0.2658,13312.5,6236.65,0.0438,0.0575,23809.52,26462.34,0.1151
c-NIGER-20,20,2050-01-17,999,4.873323,6.67539,112311.3,22462.26,24203.57,0.2904,12523.81,6104.25,0.0575,0.0521,26176.47,29858.73,0.0932
c-NIGER-21,21,2050-01-17,999,11.971583,8.388672,99210.55,19842.11,20400.06,0.5726,11232.14,5783.96,0.1534,0.1205,21428.57,23147.02,0.1918
c-NIGER-22,22,2050-01-17,999,12.000775,8.506712,105087.7,21017.54,23874.85,0.6247,12188.68,5860.74,0.1452,0.1425,22821.78,24209.67,0.2767
c-NIGER-23,23,2050-01-17,999,5.09721,6.656508,87285.7,17457.14,20878.78,0.2877,11117.65,5348.86,0.0466,0.0575,17538.46,21293.89,0.1425
c-NIGER-24,24,2050-01-17,999,5.192322,6.695678,119840.45,23968.09,24920.28,0.2575,11652.17,5913.07,0.063,0.0438,18270.83,20360.31,0.1315
c-NIGER-25,25,2050-01-17,999,6.515012,7.352061,99880.95,19976.19,23077.87,0.5753,12803.92,5969.99,0.1397,0.1288,16961.9,18986.29,0.2877
c-NIGER-26,26,2050-01-17,999,4.932849,7.079428,113419.7,22683.94,24384.69,0.5288,12769.23,5935.89,0.1068,0.1178,21975.9,23548.59,0.2274
c-NIGER-27,27,2050-01-17,999,6.547051,3.332,90776.7,18155.34,20484.22,0.2822,11666.67,6195.53,0.074,0.074,23125.0,21839.22,0.0877
c-NIGER-28,28,2050-01-17,999,4.69384,7.338501,129202.15,25840.43,26251.19,0.2575,11705.88,4831.73,0.0466,0.0521,16486.49,19647.76,0.1014
c-NIGER-29,29,2050-01-17,999,6.532074,3.270666,106494.85,21298.97,24879.78,0.2658,10875.0,4660.11,0.0438,0.0493,19439.02,19927.43,0.1123
c-NIGER-30,30,2050-01-17,999,6.468503,3.442515,102045.45,20409.09,23602.37,0.2411,9391.3,4509.98,0.063,0.0466,22020.83,22527.99,0.1315
c-NIGER-31,31,2050-01-17,999,6.406034,7.34719,102600.0,20520.0,21618.62,0.3425,12400.0,5879.49,0.0548,0.0712,19000.0,19300.88,0.1178
c-NIGER-32,32,2050-01-17,999,12.027113,8.559331,94337.35,18867.47,20746.3,0.2274,11240.0,5811.48,0.0685,0.0658,19277.78,20130.45,0.0986
c-NIGER-33,33,2050-01-17,999,6.442929,3.303564,99890.1,19978.02,21317.69,0.2493,10000.0,5037.36,0.0466,0.0466,17296.3,12862.63,0.074
c-NIGER-34,34,2050-01-17,999,5.126724,6.9172,126236.55,25247.31,26850.49,0.2548,13375.0,6405.25,0.0658,0.0548,24477.27,30550.37,0.1205
c-NIGER-35,35,2050-01-17,999,6.467759,3.24623,92326.55,18465.31,21661.8,0.6712,11214.29,5858.23,0.1151,0.1014,23788.24,26217.54,0.2329
c-NIGER-36,36,2050-01-17,999,11.97506,8.487043,97243.0,19448.6,19153.42,0.2932,11071.43,6069.65,0.0384,0.0548,15305.56,14042.42,0.0986
c-NIGER-37,37,2050-01-17,999,9.100625,7.435838,131882.35,26376.47,26813.28,0.2329,11827.59,5812.97,0.0795,0.074,30405.41,27728.3,0.1014
c-NIGER-38,38,2050-01-17,999,6.340284,3.244235,88220.35,17644.07,18525.35,0.3233,11272.73,5666.79,0.0603,0.0521,18034.48,18172.63,0.1589
c-NIGER-39,39,2050-01-17,999,9.223767,7.615227,113486.25,22697.25,24886.47,0.5973,11632.65,5797.61,0.1342,0.1123,24843.37,26091.53,0.2274
c-NIGER-40,40,2050-01-17,999,11.833157,8.406996,98798.1,19759.62,20943.22,0.5699,11342.11,5762.3,0.1041,0.0822,19169.01,22112.69,0.1945
c-NIGER-41,41,2050-01-17,999,6.338584,7.510654,115337.1,23067.42,26076.72,0.2438,11480.0,5628.2,0.0685,0.0603,23609.76,27850.38,0.1123
c-NIGER-42,42,2050-01-17,999,11.944911,8.471211,126089.75,25217.95,24468.72,0.2137,11944.44,6786.42,0.0493,0.0411,21481.48,22695.93,0.074
c-NIGER-43,43,2050-01-17,999,4.725779,6.950791,101176.45,20235.29,20420.37,0.2329,10000.0,5670.44,0.0384,0.063,16833.33,20503.8,0.0658
c-NIGER-44,44,2050-01-17,999,6.430055,3.466302,88349.5,17669.9,20816.37,0.2822,10437.5,5921.36,0.0438,0.0712,17083.33,14051.32,0.1315
c-NIGER-45,45,2050-01-17,999,6.425182,3.332259,131793.5,26358.7,26240.47,0.2521,11545.45,5509.54,0.0603,0.0247,24244.9,23710.52,0.1342
c-NIGER-46,46,2050-01-17,999,9.021064,7.59538,102899.55,20579.91,22599.56,0.6,11235.29,5655.4,0.1397,0.1288,20745.45,22512.15,0.3014
c-NIGER-47,47,2050-01-17,999,12.012138,8.430628,101696.45,20339.29,26131.87,0.3068,12250.0,5954.87,0.0548,0.0685,21315.79,24227.46,0.1562
c-NIGER-48,48,2050-01-17,999,6.471492,3.432698,117029.7,23405.94,25917.24,0.2767,10027.03,5575.18,0.1014,0.0767,26314.81,28212.02,0.1479
c-NIGER-49,49,2050-01-17,999,11.916213,8.419957,105049.5,21009.9,25393.11,0.2767,11888.89,5583.86,0.074,0.0521,18606.06,23662.92,0.0904
c-NIGER-50,50,2050-01-17,999,6.31089,7.47101,126523.8,25304.76,25998.57,0.2877,10000.0,5687.96,0.0493,0.0548,20160.0,21894.98,0.0685
c-NIGER-51,51,2050-01-17,999,4.743313,7.001355,93762.4,18752.48,20734.48,0.5534,11647.06,5912.1,0.1397,0.0877,21460.53,22814.87,0.2082
c-NIGER-52,52,2050-01-17,999,4.694323,7.240394,110329.65,22065.93,24278.39,0.2493,8705.88,4647.11,0.0466,0.0603,17354.84,16177.24,0.0849
c-NIGER-53,53,2050-01-17,999,5.128269,6.886264,101111.1,20222.22,22259.23,0.5425,11560.0,5590.77,0.0685,0.1068,22100.0,25534.09,0.2192
c-NIGER-54,54,2050-01-17,999,4.83469,6.992906,125217.4,25043.48,28944.78,0.2521,10916.67,5759.71,0.0329,0.0411,17521.74,19211.96,0.126
c-NIGER-55,55,2050-01-17,999,6.905531,7.336928,93403.35,18680.67,19329.85,0.326,14040.0,6458.07,0.0685,0.0438,21939.39,21065.28,0.0904
c-NIGER-56,56,2050-01-17,999,4.731488,7.036403,99504.15,19900.83,21146.48,0.3315,10480.0,5025.93,0.0685,0.0767,19173.91,22138.26,0.126
c-NIGER-57,57,2050-01-17,999,6.461224,3.384495,108969.05,21793.81,20821.13,0.2658,13666.67,5911.11,0.0493,0.0521,22840.91,28465.35,0.1205
c-NIGER-58,58,2050-01-17,999,8.953181,7.432314,92865.6,18573.12,18662.83,0.6932,10931.82,5796.54,0.1205,0.1479,19446.81,21290.42,0.2575
c-NIGER-59,59,2050-01-17,999,6.248046,7.519472,126464.65,25292.93,29994.64,0.2712,11058.82,6169.18,0.0466,0.0411,24650.0,28369.86,0.1096
c-NIGER-60,60,2050-01-17,999,6.323384,7.434958,86085.25,17217.05,19052.54,0.3534,11956.52,6233.91,0.063,0.0575,17680.85,19737.52,0.1288
c-NIGER-61,61,2050-01-17,999,6.567599,3.479239,96590.9,19318.18,22910.89,0.2411,10400.0,5521.67,0.0274,0.0603,19447.37,26207.79,0.1041
c-NIGER-62,62,2050-01-17,999,6.360218,7.631259,91201.9,18240.38,19051.03,0.2849,9300.0,3935.0,0.0548,0.0603,24540.54,24763.99,0.1014
c-NIGER-63,63,2050-01-17,999,12.059599,8.446317,103130.85,20626.17,23498.91,0.2932,10315.79,5323.46,0.0521,0.0301,19341.46,19711.18,0.1123
c-NIGER-64,64,2050-01-17,999,12.016296,8.632612,108861.4,21772.28,23131.31,0.2767,11842.11,5965.3,0.0521,0.0411,18823.53,18891.19,0.0932
c-NIGER-65,65,2050-01-17,999,6.466979,3.381992,104860.35,20972.07,23043.05,0.4904,11000.0,6101.0,0.1014,0.1233,19742.86,19771.66,0.1918
c-NIGER-66,66,2050-01-17,999,9.15686,7.419053,111950.0,22390.0,20288.77,0.274,10416.67,5930.79,0.0329,0.0658,22400.0,27526.29,0.0822
c-NIGER-67,67,2050-01-17,999,4.630148,7.308748,101737.3,20347.46,22494.21,0.6466,12380.95,5893.16,0.1151,0.0986,23896.1,27314.73,0.211
c-NIGER-68,68,2050-01-17,999,12.106596,8.567026,94890.1,18978.02,18708.27,0.2493,12800.0,6138.63,0.0822,0.0466,21700.0,16717.02,0.0822
c-NIGER-69,69,2050-01-17,999,6.603828,3.332255,120485.45,24097.09,27223.74,0.5644,12740.74,5788.53,0.074,0.0959,20819.44,25272.78,0.1973
c-NIGER-70,70,2050-01-17,999,6.231777,7.467111,112100.0,22420.0,24034.14,0.274,11562.5,5163.57,0.0438,0.063,18090.91,24049.9,0.0904
c-NIGER-71,71,2050-01-17,999,12.032657,8.407076,103877.55,20775.51,23805.28,0.2685,11840.0,5948.95,0.0685,0.0685,16560.98,16430.23,0.1123
c-NIGER-72,72,2050-01-17,999,12.033464,8.54325,118750.0,23750.0,28131.8,0.2521,12375.0,6227.63,0.0438,0.0411,18757.58,20397.66,0.0904
c-NIGER-73,73,2050-01-17,999,12.083204,8.562878,142142.85,28428.57,28389.41,0.2301,10105.26,6208.37,0.0521,0.0521,23542.86,24773.49,0.0959
c-NIGER-74,74,2050-01-17,999,11.883992,8.408902,129893.6,25978.72,27277.54,0.2575,13789.47,6151.59,0.0521,0.0712,21482.76,25296.27,0.0795
c-NIGER-75,75,2050-01-17,999,11.8901,8.50914,113755.45,22751.09,26141.05,0.6274,11852.94,5847.21,0.0932,0.1479,22040.54,21379.44,0.2027
c-NIGER-76,76,2050-01-17,999,6.306978,3.403072,99502.35,19900.47,23006.93,0.5781,11704.55,5912.46,0.1205,0.1178,19721.52,20181.83,0.2164
c-NIGER-77,77,2050-01-17,999,5.242817,6.864475,108814.45,21762.89,23207.3,0.2658,10142.86,5545.02,0.0384,0.0548,21096.77,25542.59,0.0849
c-NIGER-78,78,2050-01-17,999,6.459192,7.579217,90743.8,18148.76,19789.59,0.3315,12360.0,6026.88,0.0685,0.0521,18000.0,20466.36,0.1096
c-NIGER-79,79,2050-01-17,999,5.154282,6.688587,111875.0,22375.0,25267.66,0.3288,11521.74,5324.64,0.063,0.0877,21833.33,24707.08,0.1315
c-NIGER-80,80,2050-01-17,999,5.090436,6.634195,106827.95,21365.59,23900.97,0.2548,12625.0,6075.91,0.0438,0.0466,14588.24,14437.15,0.0932
c-NIGER-81,81,2050-01-17,999,11.945509,8.386839,102873.55,20574.71,20382.18,0.2384,11055.56,5885.9,0.0493,0.0356,27125.0,32362.72,0.1315
c-NIGER-82,82,2050-01-17,999,6.433189,3.320403,114644.55,22928.91,23982.13,0.5781,13475.0,6732.96,0.1096,0.1562,26445.78,30614.14,0.2274
c-NIGER-83,83,2050-01-17,999,12.048892,8.417602,125111.1,25022.22,26542.3,0.2466,11833.33,4940.22,0.0658,0.0411,21571.43,17758.52,0.0767
c-NIGER-84,84,2050-01-17,999,9.106053,7.603721,115787.05,23157.41,26063.84,0.5918,12512.82,6151.05,0.1068,0.126,22166.67,21158.69,0.1973
c-NIGER-85,85,2050-01-17,999,11.875965,8.606746,102011.5,20402.3,21791.37,0.9534,9311.69,6347.94,0.211,0.1918,20617.65,24315.84,0.3726
c-NIGER-86,86,2050-01-17,999,6.378389,3.420067,84466.0,16893.2,16967.05,0.2822,11200.0,5796.55,0.0411,0.0548,21659.57,20471.91,0.1288
c-NIGER-87,87,2050-01-17,999,6.566118,3.369828,93237.7,18647.54,18242.14,0.3342,10133.33,5383.4,0.0411,0.0822,16057.69,19605.33,0.1425
c-NIGER-88,88,2050-01-17,999,11.880855,8.52584,98558.55,19711.71,20806.64,0.3041,12423.08,6262.1,0.0712,0.0521,17725.0,22542.25,0.1096
c-NIGER-89,89,2050-01-17,999,11.862874,8.47059,98010.45,19602.09,20266.09,0.5233,10846.15,5407.3,0.1068,0.0877,18136.84,21180.89,0.2603
c-NIGER-90,90,2050-01-17,999,12.150188,8.400823,119482.75,23896.55,23158.58,0.3178,11083.33,5404.64,0.0658,0.0795,19566.04,21636.43,0.1452
c-NIGER-91,91,2050-01-17,999,6.381463,7.446304,120824.75,24164.95,23811.18,0.2658,11846.15,5885.66,0.0356,0.0466,13705.88,17780.7,0.0932
c-NIGER-92,92,2050-01-17,999,4.847288,7.027114,116718.75,23343.75,24963.57,0.526,13454.55,6471.6,0.1205,0.1041,18974.03,23073.1,0.211
c-NIGER-93,93,2050-01-17,999,12.086238,8.658771,117626.25,23525.25,25771.11,0.2712,10800.0,6387.49,0.0548,0.0466,27765.96,31335.64,0.1288
c-NIGER-94,94,2050-01-17,999,6.420158,3.508401,107592.6,21518.52,25888.35,0.3699,10903.23,5249.48,0.0849,0.0658,20292.68,23119.52,0.1123
c-NIGER-95,95,2050-01-17,999,4.878059,6.807118,116807.5,23361.5,25317.34,0.5836,11081.08,5688.09,0.1014,0.1726,19612.9,20134.89,0.2548
c-NIGER-96,96,2050-01-17,999,11.945148,8.376296,122619.05,24523.81,26444.52,0.2301,11500.0,6391.63,0.0493,0.0384,16552.63,19757.58,0.1041
c-NIGER-97,97,2050-01-17,999,9.186218,7.470122,117904.55,23580.91,24267.49,0.6603,11083.33,5461.02,0.1315,0.126,25864.58,28015.64,0.263
c-NIGER-98,98,2050-01-17,999,6.57008,7.61602,125618.0,25123.6,23687.27,0.2438,12347.83,5874.51,0.063,0.0712,21285.71,23459.75,0.0767
c-NIGER-99,99,2050-01-17,999,5.096117,6.829551,112588.5,22517.7,24393.66,0.6192,10893.62,5949.91,0.1288,0.1397,16915.66,20049.45,0.2274
c-NIGER-100,100,2050-01-17,999,11.91443,8.584195,114101.1,22820.22,22081.24,0.2438,9789.47,4779.34,0.0521,0.0548,19297.3,23857.06,0.1014
c-NIGER-101,101,2050-01-17,999,6.532454,3.40684,102547.15,20509.43,22537.27,0.2904,13000.0,6144.1,0.0466,0.0712,24238.1,23223.0,0.1151
c-NIGER-102,102,2050-01-17,999,6.549043,3.380825,107600.0,21520.0,25120.97,0.6164,10040.0,5565.78,0.137,0.1315,18900.0,20272.33,0.2466
c-NIGER-103,103,2050-01-17,999,11.899649,8.659256,96607.15,19321.43,19390.2,0.2301,13533.33,5553.21,0.0411,0.0603,19097.56,19859.26,0.1123
c-NIGER-104,104,2050-01-17,999,6.496722,3.363632,100376.35,20075.27,21858.85,0.2548,11866.67,6151.27,0.0411,0.0301,15812.5,15816.36,0.0877
c-NIGER-105,105,2050-01-17,999,4.819421,7.044619,86798.25,17359.65,19623.05,0.3123,11434.78,5392.13,0.063,0.0466,21434.78,24801.12,0.126
c-NIGER-106,106,2050-01-17,999,9.196376,7.426401,113068.2,22613.64,24629.05,0.3616,9866.67,5604.42,0.0411,0.0603,26215.69,24623.82,0.1397
c-NIGER-107,107,2050-01-17,999,6.41394,3.489618,120486.75,24097.35,26846.78,0.3096,10758.62,5552.7,0.0795,0.0521,20212.77,18811.35,0.1288
c-NIGER-108,108,2050-01-17,999,4.676993,7.16466,131273.6,26254.72,28106.96,0.2904,12071.43,6305.85,0.0384,0.0384,22977.78,29090.37,0.1233
c-NIGER-109,109,2050-01-17,999,6.46453,3.381164,115555.55,23111.11,23792.33,0.2219,11888.89,6125.06,0.0493,0.0466,19837.84,22841.86,0.1014
c-NIGER-110,110,2050-01-17,999,6.311144,7.388044,129482.75,25896.55,25703.79,0.3178,9730.77,4771.23,0.0712,0.0521,23285.71,25730.17,0.1342
c-NIGER-111,111,2050-01-17,999,9.106469,7.44056,101681.05,20336.21,25234.19,0.3178,11181.82,5762.24,0.0603,0.0685,22113.64,22834.3,0.1205
c-NIGER-112,112,2050-01-17,999,6.461018,7.53562,111789.45,22357.89,22052.12,0.2603,9470.59,4346.23,0.0466,0.0712,29815.79,29315.48,0.1041
c-NIGER-113,113,2050-01-17,999,9.186834,7.348112,141406.25,28281.25,26136.77,0.263,11782.61,5838.4,0.063,0.0384,21181.82,23179.05,0.1205
c-NIGER-114,114,2050-01-17,999,9.198187,7.525762,107754.65,21550.93,23005.1,0.5918,12566.67,5887.94,0.0822,0.126,23235.29,25981.98,0.2329
c-NIGER-115,115,2050-01-17,999,6.32411,3.359745,100000.0,20000.0,21622.06,0.611,11897.96,5895.78,0.1342,0.0986,21000.0,24697.74,0.2548
c-NIGER-116,116,2050-01-17,999,5.267285,6.741082,130290.7,26058.14,24204.21,0.2356,12500.0,6587.02,0.0274,0.0603,15309.52,16748.48,0.1151
c-NIGER-117,117,2050-01-17,999,5.052244,6.627657,98598.15,19719.63,22291.83,0.5863,11045.45,5766.6,0.1205,0.1233,23549.02,25849.0,0.2795
c-NIGER-118,118,2050-01-17,999,11.865658,8.381127,115387.95,23077.59,24672.87,0.3178,11300.0,6272.52,0.0274,0.0658,16767.44,21913.07,0.1178
c-NIGER-119,119,2050-01-17,999,6.060565,7.390728,101834.85,20366.97,20421.33,0.2986,13533.33,5829.37,0.0822,0.0603,22613.64,26286.63,0.1205
c-NIGER-120,120,2050-01-17,999,12.020379,8.634991,101714.3,20342.86,22406.14,0.5753,11000.0,5446.06,0.1315,0.1096,24481.48,25611.09,0.2219
c-NIGER-121,121,2050-01-17,999,9.170601,7.583238,117638.9,23527.78,24818.01,0.2959,11851.85,5579.52,0.074,0.0658,22000.0,23663.0,0.0904
c-NIGER-122,122,2050-01-17,999,6.397295,7.533078,113025.65,22605.13,24717.64,0.5342,12400.0,5678.65,0.0959,0.0986,17475.0,19039.58,0.2192
c-NIGER-123,123,2050-01-17,999,6.404892,3.541195,101984.15,20396.83,23320.06,0.3452,11052.63,5681.1,0.0521,0.0548,15484.85,17855.53,0.0904
c-NIGER-124,124,2050-01-17,999,4.66177,7.147068,103877.55,20775.51,23805.28,0.2685,11840.0,5948.95,0.0685,0.0685,16560.98,16430.23,0.1123
c-NIGER-125,125,2050-01-17,999,4.678714,7.285389,108842.1,21768.42,25591.08,0.2603,10050.0,5384.92,0.0548,0.0712,20375.0,23507.43,0.1096
c-NIGER-126,126,2050-01-17,999,9.162676,7.453854,77904.75,15580.95,15800.91,0.2877,11842.11,5871.43,0.0521,0.0849,21512.82,23355.23,0.1068
c-NIGER-127,127,2050-01-17,999,6.486363,3.417628,100000.0,20000.0,24953.91,0.2384,11000.0,5394.44,0.0575,0.0658,20170.21,22131.35,0.1288
c-NIGER-128,128,2050-01-17,999,6.536161,7.418518,128154.75,25630.95,22918.81,0.2301,10250.0,5260.33,0.0548,0.0521,20352.94,26507.22,0.1397
c-NIGER-129,129,2050-01-17,999,12.135667,8.641789,116852.7,23370.54,26365.0,0.6137,11325.0,5967.38,0.1096,0.1151,22876.54,25132.34,0.2219
c-NIGER-130,130,2050-01-17,999,6.20754,7.420202,120339.8,24067.96,26872.34,0.2822,11285.71,4874.24,0.0384,0.0411,19512.82,16376.93,0.1068
c-NIGER-131,131,2050-01-17,999,11.903924,8.464241,118750.0,23750.0,24550.74,0.2521,12136.36,5701.26,0.0603,0.0493,23411.76,25678.92,0.1397
c-NIGER-132,132,2050-01-17,999,11.909577,8.550289,97412.3,19482.46,20990.19,0.3123,12454.55,6021.61,0.0603,0.063,18809.52,19462.0,0.1726
c-NIGER-133,133,2050-01-17,999,8.914959,7.533862,115645.15,23129.03,25873.53,0.2548,9500.0,5113.42,0.0493,0.0466,22696.97,21593.52,0.0904
c-NIGER-134,134,2050-01-17,999,9.11219,7.633846,117280.7,23456.14,23807.54,0.3123,10636.36,6281.29,0.0301,0.0658,18054.05,22335.75,0.1014
c-NIGER-135,135,2050-01-17,999,5.170435,6.892169,113699.2,22739.84,27425.56,0.337,11541.67,6283.03,0.0658,0.0466,23810.81,23735.62,0.1014
c-NIGER-136,136,2050-01-17,999,6.365636,3.311221,95494.5,19098.9,20131.82,0.2493,11500.0,5853.09,0.0822,0.0685,16211.54,19908.95,0.1425
c-NIGER-137,137,2050-01-17,999,8.981178,7.440978,97995.15,19599.03,18970.05,0.5671,10844.44,5846.35,0.1233,0.1315,24488.1,25596.26,0.2301
c-NIGER-138,138,2050-01-17,999,6.930492,7.389937,119259.25,23851.85,23875.77,0.2959,10736.84,5886.35,0.0521,0.0932,24828.57,22570.79,0.0959
c-NIGER-139,139,2050-01-17,999,6.428331,3.281771,134134.6,26826.92,29064.52,0.2849,11739.13,5817.04,0.063,0.0767,17925.0,18605.74,0.1096
c-NIGER-140,140,2050-01-17,999,4.847213,7.130134,130505.05,26101.01,25360.86,0.2712,12500.0,6150.29,0.0658,0.0548,15550.0,18413.97,0.1096
c-NIGER-141,141,2050-01-17,999,11.984273,8.47307,102500.0,20500.0,21738.15,0.263,10826.09,5843.82,0.063,0.0658,22857.14,26787.99,0.0959
c-NIGER-142,142,2050-01-17,999,9.017955,7.582315,109744.9,21948.98,24035.6,0.537,10175.0,4819.23,0.1096,0.0959,22000.0,24615.01,0.2192
c-NIGER-143,143,2050-01-17,999,4.76061,7.059057,89663.45,17932.69,19152.56,0.2849,11380.95,5809.27,0.0575,0.0466,25294.12,30466.6,0.0932
c-NIGER-144,144,2050-01-17,999,5.012941,6.845947,127383.2,25476.64,27384.52,0.2932,10650.0,5824.4,0.0548,0.0521,19642.86,20272.32,0.1151
c-NIGER-145,145,2050-01-17,999,12.049166,8.553759,111428.55,22285.71,25721.78,0.2877,9833.33,4032.95,0.0493,0.0548,19102.56,20358.36,0.1068
c-NIGER-146,146,2050-01-17,999,6.599275,3.526732,110891.45,22178.29,25767.42,0.3534,12900.0,6068.9,0.0548,0.0521,18771.93,18924.68,0.1562
c-NIGER-147,147,2050-01-17,999,11.854469,8.478546,102574.25,20514.85,22269.99,0.2767,14142.86,6459.77,0.0575,0.0575,23121.95,21409.34,0.1123
c-NIGER-148,148,2050-01-17,999,9.055098,7.601549,113361.35,22672.27,22711.57,0.326,12480.0,6487.94,0.0685,0.0575,16640.0,18041.63,0.137
c-NIGER-149,149,2050-01-17,999,8.965736,7.479228,116752.15,23350.43,22658.76,0.3205,10727.27,5408.83,0.0603,0.0356,13379.31,11974.42,0.0795
c-NIGER-150,150,2050-01-17,999,6.404746,7.494139,107424.25,21484.85,23469.66,0.6329,11925.0,6195.07,0.1096,0.0959,18989.36,20915.86,0.2575
c-NIGER-151,151,2050-01-17,999,6.318047,7.56229,124713.1,24942.62,25724.64,0.3342,10969.7,5795.93,0.0904,0.0603,24186.05,23540.5,0.1178
c-NIGER-152,152,2050-01-17,999,11.856492,8.487732,102989.15,20597.83,21191.98,0.2521,8588.24,4458.96,0.0466,0.0384,24240.0,27239.35,0.137
c-NIGER-153,153,2050-01-17,999,6.276914,7.439019,93515.6,18703.12,20323.51,0.3507,12322.58,6326.6,0.0849,0.0575,19136.36,20395.61,0.1205
c-NIGER-154,154,2050-01-17,999,11.983954,8.535538,122760.4,24552.08,24617.01,0.263,12000.0,5522.68,0.0466,0.0411,20468.75,22362.1,0.0877
c-NIGER-155,155,2050-01-17,999,4.92615,7.100231,94710.15,18942.03,21173.73,0.5671,10153.85,5104.45,0.0712,0.1205,16833.33,17916.02,0.2301
c-NIGER-156,156,2050-01-17,999,9.217422,7.441546,97720.6,19544.12,23062.84,0.9315,10000.0,6642.67,0.1781,0.211,22105.69,24425.8,0.337
c-NIGER-157,157,2050-01-17,999,6.477937,7.618578,123010.75,24602.15,25388.78,0.2548,11478.26,6051.82,0.063,0.0466,22868.42,25233.15,0.1041
c-NIGER-158,158,2050-01-17,999,4.829831,6.828285,115000.0,23000.0,24773.08,0.263,10846.15,5580.41,0.0356,0.0493,16297.3,12006.63,0.1014
c-NIGER-159,159,2050-01-17,999,11.892241,8.444976,90357.15,18071.43,19101.37,0.2301,12375.0,6191.25,0.0658,0.0548,20093.75,21033.55,0.0877
c-NIGER-160,160,2050-01-17,999,9.172207,7.618568,122384.6,24476.92,25345.43,0.3562,13342.86,6356.76,0.0959,0.0521,19620.69,25014.96,0.1589
c-NIGER-161,161,2050-01-17,999,6.344606,3.477021,111538.45,22307.69,22993.43,0.3205,11214.29,5950.81,0.0384,0.0575,21878.79,20941.52,0.0904
